id,Title,url,Product סגנון היצירה,Product טכניקה,Product מצע,Length,Width,Height,filename
1731,3 ברושים על רוזטה 1/1,https://under1000.co.il/wp-content/uploads/2020/06/שלושה-ברושים-1-מתוך-1-.jpg,פיגורטיבי,הדפס|צבעי אקריליק,נייר,4.0,80.0,70.0,1731.jpg
1736,"ברוש מאורך לבן, רשת אוקר 4/9",https://under1000.co.il/wp-content/uploads/2020/06/ברוש-מאורך-לבן-רשת-אוקר-70-19-4-מתוך-9-.jpg,פיגורטיבי,הדפס|צבעי אקריליק,נייר,4.0,35.0,100.0,1736.jpg
1738,"ברוש תחרה שחור לבן, ימין, 3/5",https://under1000.co.il/wp-content/uploads/2020/06/ברוש-תחרה-שחור-49-19-ימין-3-מתוך-5-.jpg,פיגורטיבי,הדפס,נייר,4.0,75.0,105.0,1738.jpg
1742,"שלושה לבבות רקומים מס' 1, 1/1",https://under1000.co.il/wp-content/uploads/2020/06/שלושה-לבבות-רקומים-מס-1-1-מתוך-1-.jpg,פיגורטיבי,הדפס|צבעי אקריליק,נייר,4.0,32.0,53.0,1742.jpg
1744,"לב סירה שחור/לבן, רשת אוקר, 2/5",https://under1000.co.il/wp-content/uploads/2020/06/לב-סירה-שחור-לבן-רשת-אוקר-54-19-2-מתוך-5-.jpg,פיגורטיבי,הדפס|צבעי אקריליק,נייר,4.0,30.0,55.0,1744.jpg
1746,"לב סירה לבן,שביל אוקר, 3/5",https://under1000.co.il/wp-content/uploads/2020/06/לב-סירה-לבן-שביל-אוקר-57-19-3-מתוך-5-.jpg,פיגורטיבי,הדפס|צבעי אקריליק,נייר,4.0,30.0,55.0,1746.jpg
1748,"לב סירה לבן, שביל אפור 4/5",https://under1000.co.il/wp-content/uploads/2020/06/לב-סירה-לבן-שביל-אפור-58-19-4-מתוך-5-.jpg,פיגורטיבי,הדפס|צבעי אקריליק,נייר,4.0,30.0,55.0,1748.jpg
1750,"לב סירה לבן, רשת כחול 4/5",https://under1000.co.il/wp-content/uploads/2020/06/לב-סירה-לבן-שביל-כחול-4-20-4-מתוך-5-.jpg,פיגורטיבי,הדפס|צבעי אקריליק,נייר,4.0,30.0,55.0,1750.jpg
1890,Abstract in yellow #1,,מופשט,צבעי שמן,קנבס,2.0,70.0,70.0,
1892,Abstract in yellow #2,,,,,2.0,70.0,70.0,
1908,צמח בר,,מופשט,צבעי אקריליק,,,100.0,100.0,
1909,תנועה,,מופשט,צבעי אקריליק,קנבס,,150.0,80.0,
1956,פריחה,https://under1000.co.il/wp-content/uploads/2020/06/70.70x60--scaled.jpg,מודרני|מופשט,,,,70.0,70.0,1956.jpg
1986,פאזל על רקע כחול,https://under1000.co.il/wp-content/uploads/2020/06/390-90x80--scaled.jpg,מודרני|מופשט,צבעי אקריליק,קנבס,,80.0,90.0,1986.jpg
1988,אקספרסיבי על רקע ירוק,https://under1000.co.il/wp-content/uploads/2020/06/412-90x90--scaled.jpg,מודרני|מופשט,צבעי אקריליק|שפכטל,,,90.0,90.0,1988.jpg
2076,ברוש מאורך לבן שביל אוקר 1/9,https://under1000.co.il/wp-content/uploads/2020/06/ברוש-מאורך-לבן-שביל-אוקר-9-20-3-מתוך-9--scaled.jpg,פיגורטיבי,הדפס,נייר,,35.0,100.0,2076.jpg
2078,ברוש מאורך לבן שביל בורדו 3/9,https://under1000.co.il/wp-content/uploads/2020/06/ברוש-מאורך-לבן-שביל-בורדו-10-20-3-מתוך-9--scaled.jpg,פיגורטיבי,הדפס,נייר,4.0,35.0,100.0,2078.jpg
2082,ברוש תחרה שחור לבן 7/10,https://under1000.co.il/wp-content/uploads/2020/06/ברוש-תחרה-שחור-לבן-11-20-7-מתוך-10--scaled.jpg,פיגורטיבי,הדפס,נייר,4.0,75.0,105.0,2082.jpg
2092,ברש מאורך כחול 6/7,https://under1000.co.il/wp-content/uploads/2020/06/ברוש-מאורך-כחול-14-20-6-מתוך-7-.jpg,פיגורטיבי,הדפס|צבעי אקריליק,נייר,4.0,35.0,100.0,2092.jpg
2094,"ברוש תחרה שחור לבן, שמאל, 5/5",https://under1000.co.il/wp-content/uploads/2020/06/ברוש-תחרה-שחור-שמאל-15-20-4-מתוך-5-.jpg,,,,4.0,75.0,105.0,2094.jpg
2143,זרימה בסגול וצהוב,,,צבעי אקריליק,קנבס,3.0,140.0,100.0,
2160,שחור לבן גדול,https://under1000.co.il/wp-content/uploads/2020/06/264-100x90--scaled.jpg,מודרני|מופשט,צבעי אקריליק,קנבס,,90.0,100.0,2160.jpg
2172,סוף המופע,https://under1000.co.il/wp-content/uploads/2020/06/106208219_10158079677239718_4105437676721333202_n.jpg,,צבעי אקריליק,קנבס,3.0,50.0,70.0,2172.jpg
2178,פרידה,https://under1000.co.il/wp-content/uploads/2020/06/C90435A4-9567-4A45-BD20-4B49B04606F5-scaled.jpeg,,צבעי אקריליק,,4.5,45.0,45.0,2178.jpg
2179,אריה,https://under1000.co.il/wp-content/uploads/2020/06/9FA8772D-1539-4E29-9F58-BB5782EA3DBE-scaled.jpeg,מודרני,צבעי אקריליק|שפכטל,,2.0,50.0,50.0,2179.jpg
2181,אישה עם כיסוי ראש,https://under1000.co.il/wp-content/uploads/2020/06/016E47E4-CAAE-4B47-8044-6A16863D9E9A-scaled.jpeg,מודרני,צבעי אקריליק|שפכטל,קנבס,3.0,40.0,100.0,2181.jpg
2183,מתבוננת,https://under1000.co.il/wp-content/uploads/2020/06/4BD22D3F-C154-41D4-B1BA-1FAA023EC981-scaled.jpeg,מודרני,ספריי|צבעי אקריליק|שפכטל,קנבס,38.0,70.0,80.0,2183.jpg
2198,מסלולי הנחל,,,,,3.0,120.0,100.0,
2200,Old Jaffa/ בית קפה ביפו,,,,,2.0,70.0,70.0,
2204,פוסטר פופארט עכשווי A4,https://under1000.co.il/wp-content/uploads/2020/06/fig_42_120x100_-חדש-1.jpg,,,,,21.0,30.0,2204.jpg
2208,"פוסטר פופארט עכשווי 40/40 ס""מ",https://under1000.co.il/wp-content/uploads/2020/06/Mona-lisa-fashion.jpg,,,,,40.0,40.0,2208.jpg
2210,"פוסטר פופארט עכשווי בגודל 70/50 ס""מ חתום וממוספר",https://under1000.co.il/wp-content/uploads/2020/06/fig_42_120x100_-חדש-1.jpg,,,,,50.0,70.0,2210.jpg
2211,"שובר רכישה בשווי 4,000 ש""ח בעלות 2,800 ש""ח בלבד!",https://under1000.co.il/wp-content/uploads/2020/06/4000.png,,,,,,,2211.jpg
2214,"שובר רכישה בשווי 1,000 ש""ח בעלות 750 ש""ח בלבד!",https://under1000.co.il/wp-content/uploads/2020/06/1000.png,,,,,,,2214.jpg
2216,"שובר רכישה בשווי 1,500 ש""ח בעלות 1,100 ש""ח בלבד!",https://under1000.co.il/wp-content/uploads/2020/06/1500.png,,,,,,,2216.jpg
2237,עיר גשומה / Rainy city,,,,,2.0,70.0,70.0,
2239,ערב ביפו/ evening in Jaffa,,,,,2.0,50.0,40.0,
2241,רחוב איטלקי /Italian street,,,,,2.0,70.0,70.0,
2293,נשיקת מלאכים,https://under1000.co.il/wp-content/uploads/2020/07/1427C18D-7D69-4947-8FAB-43AA17ED3FDC-scaled.jpeg,מודרני,צבעי אקריליק|שפכטל,קנבס,3.0,45.0,35.0,2293.jpg
